"osm_id","type","population"
339235079,"downtown",5
480135860,"residential",0
672818753,"downtown",0
672818754,"downtown",0
190486407,"commercial",0
197522688,"commercial",0
197522689,"commercial",0
197522690,"commercial",0
673037055,"residential",14
376291291,"residential",1
7074616,"residential",2
177305407,"residential",1
536604734,"residential",10
536723411,"residential",9
409765908,"residential",9
484662511,"residential",0
317906588,"residential",0
177948938,"residential",0
210625040,"commercial",6
144786630,"residential",7
673034875,"residential",3
178013534,"residential",0
177625089,"residential",1
100655978,"commercial",12
673048043,"residential",4
177272168,"residential",2
179276004,"residential",0
673042941,"residential",1
85255278,"downtown",15
672824174,"residential",8
672831831,"residential",3
673034930,"residential",1
673034932,"residential",1
673043077,"residential",2
673042980,"residential",1
673044695,"residential",2
672824197,"residential",3
671767678,"residential",4
674365979,"residential",7
671767679,"residential",5
845945149,"residential",7
317906385,"residential",0
317906434,"residential",0
317906951,"residential",1
673280755,"residential",1
317906251,"residential",0
262046149,"residential",1
537066622,"residential",1
671454483,"residential",2
449488074,"residential",4
487835340,"residential",1
674385670,"residential",2
207516646,"residential",4
157124729,"hospital",2
157124735,"hospital",0
157124736,"hospital",2
157124737,"hospital",0
157124745,"hospital",0
645561020,"hospital",4
79522243,"hospital",0
242020793,"downtown",6
242020794,"downtown",6
374566190,"downtown",4
536537200,"downtown",1
521639726,"downtown",2
521639727,"downtown",1
521639730,"downtown",1
521639731,"downtown",2
521639733,"downtown",2
521639734,"downtown",2
521639736,"downtown",2
521639738,"downtown",4
521639739,"downtown",2
521639744,"downtown",2
521639746,"downtown",2
521639747,"downtown",4
521639748,"downtown",4
521639750,"downtown",4
521639751,"downtown",4
521639752,"downtown",2
521639754,"downtown",4
536587464,"downtown",2
536587465,"downtown",1
536587466,"downtown",1
536587467,"downtown",0
536587468,"downtown",2
536589947,"downtown",1
536589949,"downtown",0
536589951,"downtown",5
536589954,"downtown",5
521639725,"downtown",1
672818711,"downtown",2
672818712,"downtown",1
672818713,"downtown",1
672818714,"downtown",1
672818716,"downtown",0
672818717,"downtown",1
552463260,"downtown",2
552463261,"downtown",5
552463263,"downtown",5
552463265,"downtown",6
552479316,"downtown",4
552479317,"downtown",4
552479318,"downtown",7
552479319,"downtown",4
552479320,"downtown",6
552479322,"downtown",5
671776301,"downtown",0
671776302,"downtown",0
671776303,"downtown",0
671776304,"downtown",1
672818704,"downtown",4
672818705,"downtown",7
672818706,"downtown",1
672818707,"downtown",0
672818708,"downtown",1
672818709,"downtown",1
672818710,"downtown",1
65155466,"downtown",4
104764936,"downtown",0
117055562,"downtown",0
190902640,"downtown",0
190902644,"downtown",0
190902646,"downtown",0
190902649,"downtown",0
127727141,"downtown",1
521639769,"downtown",9
521639771,"downtown",6
521639774,"downtown",7
521639775,"downtown",4
521639777,"downtown",0
521639778,"downtown",0
521639779,"downtown",0
521639780,"downtown",9
521639781,"downtown",17
521639783,"downtown",9
521639784,"downtown",6
521639766,"downtown",2
521639767,"downtown",6
536537201,"downtown",0
536537202,"downtown",1
536537203,"downtown",1
536537204,"downtown",2
536537211,"downtown",2
671776709,"downtown",7
671776710,"downtown",7
671776711,"downtown",7
671776712,"downtown",5
671776713,"downtown",4
671776715,"downtown",4
127727147,"downtown",0
127727989,"downtown",0
50463827,"downtown",35
85083297,"downtown",104
104852910,"downtown",6
348765346,"downtown",4
508600626,"downtown",6
521639692,"downtown",4
521639693,"downtown",5
521639696,"downtown",6
521639699,"downtown",4
521639701,"downtown",6
521639702,"downtown",1
521639703,"downtown",1
521639704,"downtown",1
521639705,"downtown",1
521639707,"downtown",1
521639708,"downtown",2
521639710,"downtown",1
521639711,"downtown",1
521639712,"downtown",1
521639713,"downtown",2
521639714,"downtown",1
521639716,"downtown",4
521639723,"downtown",1
521639724,"downtown",1
521639755,"downtown",2
521639756,"downtown",4
521639759,"downtown",1
521639760,"downtown",2
521639761,"downtown",1
521639762,"downtown",1
521639763,"downtown",2
521639765,"downtown",2
521639785,"downtown",1
521639786,"downtown",2
521639787,"downtown",2
521639789,"downtown",4
521639790,"downtown",2
521639791,"downtown",2
536589945,"downtown",4
552459096,"downtown",5
552459097,"downtown",5
552459098,"downtown",4
552459099,"downtown",7
672818688,"downtown",0
672818689,"downtown",1
672818702,"downtown",4
672818703,"downtown",7
34283525,"downtown",0
104697578,"downtown",0
104697580,"downtown",0
131710586,"downtown",0
65155464,"downtown",7
65155491,"downtown",0
85131435,"downtown",1
120114742,"downtown",2
127024509,"downtown",85
480330743,"residential",1
337471185,"downtown",1
337471186,"downtown",1
337471187,"downtown",4
337471188,"downtown",2
337471189,"downtown",1
337471190,"downtown",4
339235072,"downtown",1
339235073,"downtown",4
339235076,"downtown",2
339235077,"downtown",2
339235078,"downtown",6
339235080,"downtown",6
339235081,"downtown",4
339235082,"downtown",5
339235084,"downtown",6
339235085,"downtown",6
339235088,"downtown",6
339235090,"downtown",5
339235092,"downtown",2
339235093,"downtown",1
339235094,"downtown",2
339235095,"downtown",4
339235096,"downtown",4
339235097,"downtown",5
339235098,"downtown",4
339235099,"downtown",2
672809994,"downtown",4
349822948,"downtown",5
552455122,"downtown",4
552455124,"downtown",2
552455126,"downtown",2
552455127,"downtown",1
552459095,"downtown",6
552459101,"downtown",1
552459102,"downtown",2
552459104,"downtown",6
552459105,"downtown",5
552459109,"downtown",5
552463256,"downtown",5
552463258,"downtown",1
552463259,"downtown",2
671776305,"downtown",1
671776307,"downtown",1
671776716,"downtown",2
671776717,"downtown",1
671776718,"downtown",4
671776719,"downtown",2
671853459,"downtown",2
671853461,"downtown",2
671853462,"downtown",2
671853463,"downtown",2
671853464,"downtown",1
671853467,"downtown",6
671853468,"downtown",7
671853470,"downtown",40
671853473,"downtown",6
671853476,"downtown",2
671853479,"downtown",6
671853482,"downtown",5
671853485,"downtown",6
671853487,"downtown",2
671853490,"downtown",7
671853492,"downtown",4
671853495,"downtown",2
671853498,"downtown",0
671853503,"downtown",8
671853510,"downtown",4
671853513,"downtown",2
671853517,"downtown",1
671853522,"downtown",1
671853526,"downtown",2
672818727,"downtown",2
672818728,"downtown",1
671853531,"downtown",2
671853535,"downtown",6
671853556,"downtown",2
671853557,"downtown",2
671853558,"downtown",2
671853559,"downtown",1
671853560,"downtown",2
672808326,"downtown",6
672808327,"downtown",6
672808328,"downtown",5
672808329,"downtown",5
672809976,"downtown",2
672809979,"downtown",4
672809981,"downtown",1
672809985,"downtown",4
672809988,"downtown",4
672809989,"downtown",7
672809990,"downtown",5
672809991,"downtown",4
672809992,"downtown",1
672809993,"downtown",6
672809995,"downtown",2
672809996,"downtown",4
672809997,"downtown",2
672809998,"downtown",5
672809999,"downtown",4
672810000,"downtown",5
672818685,"downtown",0
672818690,"downtown",2
672818691,"downtown",2
672818692,"downtown",2
672818693,"downtown",2
672818694,"downtown",6
672818695,"downtown",2
672818696,"downtown",2
672818697,"downtown",4
672818698,"downtown",4
672818699,"downtown",2
672818700,"downtown",1
672818701,"downtown",2
672818715,"downtown",4
672818719,"downtown",7
483520270,"residential",10
672818720,"downtown",1
672818722,"downtown",4
672818724,"downtown",1
672818725,"downtown",1
672818726,"downtown",0
672818729,"downtown",6
672818730,"downtown",1
672818731,"downtown",1
672818732,"downtown",1
672818733,"downtown",0
672818734,"downtown",0
672818735,"downtown",1
672818736,"downtown",1
672818737,"downtown",1
672818738,"downtown",6
672818740,"downtown",4
672818751,"downtown",0
672818752,"downtown",0
672818756,"downtown",2
672818757,"downtown",1
672818758,"downtown",2
672818759,"downtown",1
672818760,"downtown",1
672818761,"downtown",1
672818764,"downtown",1
672818772,"downtown",1
672818773,"downtown",1
672818774,"downtown",0
672818775,"downtown",0
672818776,"downtown",1
672818777,"downtown",0
672818778,"downtown",0
672818779,"downtown",1
177272178,"residential",0
672818780,"downtown",0
672818781,"downtown",0
672818782,"downtown",2
672818783,"downtown",1
672818784,"downtown",1
672818785,"downtown",1
672818786,"downtown",1
85131426,"downtown",15
85131431,"downtown",35
131710584,"downtown",0
131710585,"downtown",0
190902641,"downtown",0
1484125,"downtown",0
190905731,"downtown",0
552479340,"downtown",6
671776335,"downtown",2
671776336,"downtown",2
671776357,"downtown",2
671776358,"downtown",4
671776359,"downtown",6
671776364,"downtown",4
671776365,"downtown",4
85256469,"downtown",8
127728205,"downtown",25
672818769,"downtown",4
289876515,"downtown",7
339235074,"downtown",1
339235091,"downtown",5
348775112,"downtown",20
348775113,"downtown",5
354871379,"downtown",1
354871380,"downtown",0
529924894,"downtown",2
529924896,"downtown",4
529924898,"downtown",4
529924900,"downtown",2
529924903,"downtown",4
529930777,"downtown",1
529930778,"downtown",6
529930780,"downtown",4
531264649,"downtown",5
672808316,"downtown",4
672808317,"downtown",5
672808318,"downtown",5
672808319,"downtown",2
672808320,"downtown",2
672808321,"downtown",4
672808322,"downtown",2
672808323,"downtown",7
672808324,"downtown",4
672809977,"downtown",7
672809982,"downtown",2
672809983,"downtown",2
672809984,"downtown",1
672809986,"downtown",4
672809987,"downtown",2
672810001,"downtown",4
672818683,"downtown",1
672818684,"downtown",2
672818686,"downtown",0
672818687,"downtown",0
672818739,"downtown",1
672818741,"downtown",6
672818742,"downtown",7
672818743,"downtown",0
672818744,"downtown",0
672818745,"downtown",0
672818746,"downtown",0
672818747,"downtown",1
672818748,"downtown",2
672818749,"downtown",0
672818750,"downtown",0
672818755,"downtown",0
672818762,"downtown",10
672818763,"downtown",14
672818765,"downtown",2
672818766,"downtown",5
672818767,"downtown",2
672818768,"downtown",1
672818770,"downtown",4
65155475,"downtown",23
453801861,"downtown",0
354871381,"downtown",4
127727145,"downtown",0
529930776,"downtown",0
35155445,"downtown",2
65155468,"downtown",13
65155472,"downtown",1
65155473,"downtown",1
65155477,"downtown",2
65155479,"downtown",2
65155486,"downtown",6
65155490,"downtown",2
65155495,"downtown",2
65155498,"downtown",4
289877358,"downtown",6
339235075,"downtown",7
348765340,"downtown",5
348765342,"downtown",4
348765343,"downtown",4
348765344,"downtown",4
521639670,"downtown",2
521639672,"downtown",7
521639674,"downtown",4
488493209,"residential",0
521639676,"downtown",4
521639678,"downtown",2
521639679,"downtown",5
521639680,"downtown",6
