X,Y,full_id,osm_id,osm_type,highway,name,ref,lon_out,lat_out,lon_in,lat_in
640675.979121887,5787371.7582044,w10624430,"10624430",way,motorway,,A 2,11.064867,52.217505,11.055932,52.220053
638416.87194185,5786321.66978874,w23153119,"23153119",way,primary,Halberstädter Straße,B 245a,11.026527,52.209393,11.026476,52.209460
640348.428217359,5782225.348694,w24557482,"24557482",way,primary,,B 245a,11.052622,52.173701,11.052572,52.173685
633386.142640596,5811216.27899312,w38318121,"38318121",way,primary,,B 188,10.965704,52.436592,10.965682,52.436620
584052.300786703,5816830.70995769,w99000774,"99000774",way,primary,,B 214,10.240736,52.492988,10.240699,52.492970
620844.201346622,5767670.49895485,w117608819,"117608819",way,primary,,B 79,10.762480,52.045946,10.762525,52.045955
603070.867477442,5760129.2435913,w124673653,"124673653",way,primary,,B 82,10.500351,51.981844,10.500446,51.981837
629393.116700629,5769231.13909087,w124760639,"124760639",way,primary,,B 244,10.885448,52.055660,10.885498,52.055656
591047.071313188,5763996.58178629,w234082873,"234082873",way,primary,,B 248,10.322909,52.018710,10.322945,52.018655
593819.213054468,5763695.64371586,w258410972,"258410972",way,primary,,B 6,10.365750,52.016862,10.365781,52.016884
641759.860422579,5787534.49970253,w310276051,"310276051",way,primary,,B 1,11.074582,52.219939,11.074575,52.219971
606623.308758124,5761612.16660522,w332893809,"332893809",way,motorway,,A 36,10.552677,51.995353,10.552869,51.995438
640621.576951669,5780937.01602642,w535190191,"535190191",way,primary,Hohnslebener Straße,B 245a,11.056847,52.160501,11.056826,52.160547
544822.561196292,5757392.33565054,w4798892,"4798892",way,primary,,B 240,9.652141,51.965902,9.652238,51.965905
556511.808664855,5755075.69602419,w102789362,"102789362",way,primary,Göttinger Straße,B 3,9.821720,51.942515,9.821777,51.942543
546340.661213727,5773067.34229318,w415660545,"415660545",way,primary,,B 1,9.676427,52.106139,9.676509,52.106140
578334.05460236,5756925.20424555,w475503437,"475503437",way,motorway,,A 7,10.139943,51.959483,10.140192,51.959466
578010.115680594,5756979.73187943,w753450040,"753450040",way,primary,,B 243,10.134180,51.955985,10.134227,51.955980
527501.403996739,5806108.3629159,w4850565,"4850565",way,primary,,B 442,9.402959,52.401045,9.403053,52.401038
528028.746678202,5798497.28990965,w5786842,"5786842",way,motorway,,A 2,9.411457,52.336027,9.411323,52.336195
527358.934689758,5798168.87541005,w6606447,"6606447",way,primary,Landwehrstraße,B 442,9.401245,52.333496,9.401113,52.333462
527223.443275551,5797663.78592477,w25425724,"25425724",way,motorway,,A 2,9.395305,52.326573,9.393683,52.325470
525057.33640554,5809458.83510885,w53636719,"53636719",way,primary,Hagenburger Straße,B 441,9.373031,52.434056,9.373026,52.433994
584052.300786703,5816830.70995769,w99000774,"99000774",way,primary,,B 214,10.240736,52.492988,10.240699,52.492970
529230.730037364,5800655.09020611,w270589711,"270589711",way,motorway,,A 2,9.446375,52.369635,9.447076,52.369891
572161.241597058,5821256.2991957,w294789433,"294789433",way,trunk,,B 3,10.053208,52.535761,10.053082,52.535802
527186.940804882,5798063.53905912,w368149020,"368149020",way,primary,,B 65,9.392665,52.330275,9.392753,52.330235
548640.329408873,5831824.16083887,w475911188,"475911188",way,motorway,,A 7,9.725875,52.625491,9.724803,52.626520
523151.290650877,5822785.14135539,w509421859,"509421859",way,trunk,Schneerener Krug,B 6,9.342414,52.554241,9.340530,52.555051
533975.971661627,5779855.67131121,w525713341,"525713341",way,primary,,B 217,9.499011,52.168810,9.499050,52.168755
600360.174874017,5853304.57073993,w164953411,"164953411",way,primary,,B 4,10.487385,52.807034,10.487352,52.806944
633484.506979804,5832360.24256793,w221993759,"221993759",way,primary,,B 248,10.970816,52.623872,10.970770,52.623883
